topic_id;topic_title;msgs_total;last_date;avg_text_len
0;Общий поток;4020;2025-09-25 19:56;292
3331;МИТОlife (новости);0;;0
5;EXTRA (полипренолы);0;;0
459;Экспертные эфиры;0;;0
16;МИТОХОНДРИИ;0;;0
17;ПОЛИПРЕНОЛЫ;0;;0
364;Напитки (кофе, шоколад, чай…);0;;0
3332;МИТОрост (про ментальность);0;;0
1;Разное;0;;0
10;BLEND (полипренолы);0;;0
3745;ERA Mitomatrix;0;;0
15;Серия NASH;0;;0
1031;Сыворотка (уход);0;;0
1159;BEET SHOT (оксид азота);0;;0
8;STONE (детокс);0;;0
513;Масло МСТ (мозг, энергия);0;;0
359;Отзывы;0;;0
13;VITEN (иммунитет);0;;0
275;Хвойный хлорофилл;0;;0
221;MITOпрограмма;0;;0
2728;ViMi;0;;0
3670;IQ - код;0;;0
4583;Эфиры Олеси Халиной;0;;0
181;О! Тест (на омега-3);0;;0
3343;Мы в соц.сетях;0;;0
1205;TÉO GREEN (клетчатка, кишечник);0;;0
11;MOBIO (метабиотик);0;;0
701;drops (pH баланс);0;;0
592;Протеин;0;;0
3100;Эфиры Натальи Дмитренко;0;;0
9;MIT UP (коллаген, уролитин A);0;;0
383;Очки (сон);0;;0
18;Маркетинг;0;;0
539;Вебинары доктора Ольги Анатольевны;0;;0
314;Онкология;0;;0
101;Низкоуглеводное питание;0;;0
3525;Отзывы МИТОсообщество, бизнес;0;;0
2667;Эфиры Надежды Гурской;0;;0
3076;Вебинары доктора Яны Лопастейской;0;;0
3456;Эфиры Алины Хлебодаровой;0;;0
3;Вебинары доктора Марии Павловой;0;;0
1614;Дети;0;;0
3342;Материалы;0;;0
3273;Вебинары Юлии Хохолковой;0;;0
1856;Документы;0;;0
2979;T8 ERA TO GO;0;;0
2043;PARAKILL (антипаразитарка);0;;0
261;EXO (кетоны);0;;0
1618;Спорт;0;;0
637;Уход;0;;0
1615;Наборы;0;;0
415;Производство;0;;0
4;Исследования;0;;0
